Station,Latitude,Longitude,Temperature
香港天文台,22.30194444,114.1741667,33.3
清水灣,22.26333333,114.2997222,30.9
香港國際機場,22.30944444,113.9219444,32.6
香港公園,22.27833333,114.1622222,32.6
黃竹坑,22.24777778,114.1736111,32.9
將軍澳,22.31583333,114.2555556,33.4
九龍城,22.335,114.1847222,34.5
京士柏,22.31194444,114.1727778,32.5
滘西洲,22.37027778,114.3125,32.6
流浮山,22.46888889,113.9836111,32.5
坪洲,22.29111111,114.0433333,32.8
啟德跑道公園,22.305,114.2194444,32.9
石崗,22.43611111,114.0847222,35.3
沙田,22.4025,114.21,34.7
西貢,22.37555556,114.2744444,32.1
筲箕灣,22.28166667,114.2361111,31.8
上水,22.50194444,114.1111111,38
打鼓嶺,22.52861111,114.1566667,36
大隴,22.48472222,114.1175,36.4
屯門兒童及青少年院,22.38583333,113.9641667,33.2
荃灣城門谷,22.37555556,114.1266667,33.9
荃灣,22.38361111,114.1077778,32.1
新青衣站,22.34416667,114.11,32
北潭涌(鯽魚湖),22.40277778,114.3230556,33.3
橫瀾島,22.18222222,114.3033333,32.6
濕地公園,22.46666667,114.0088889,34.4
大埔(元洲仔公園),22.44833333,114.1772222,34.6